date,hashtag,mentions,estimated_reach,sentiment_score,top_country
2024-09-11,#Photography,140091,306985,-0.91,Australia
2025-05-27,#Robotics,42466,224395,0.0,Turkey
2024-08-01,#Books,52787,290629,0.73,Spain
2024-11-11,#Movies,143301,234189,-0.16,Japan
2024-08-08,#MusicMonday,118606,367021,-0.74,Japan
2024-09-08,#MachineLearning,125928,438570,0.45,France
2024-08-09,#TravelTuesday,76105,396904,-0.46,Egypt
2025-02-23,#Books,171896,949424,0.36,France
2024-11-27,#SmartCity,57252,264603,-0.86,UK
2025-03-17,#Investing,198897,1075696,0.39,Australia
2024-10-14,#Analytics,90828,525634,0.82,Mexico
2024-12-23,#FoodPorn,143710,690131,0.04,France
2024-11-15,#Cloud,77225,282653,-0.71,USA
2024-07-12,#RemoteWork,195255,965015,-0.51,Japan
2025-02-05,#EcoFriendly,87109,289832,-0.42,UK
2025-01-30,#FitnessGoals,77191,339922,0.87,Egypt
2024-09-26,#ViralVideo,143742,236170,0.85,France
2024-06-24,#SmartCity,99055,243050,-0.69,Russia
2024-09-22,#Art,141572,281251,0.35,USA
2024-07-06,#Robotics,131331,660764,0.84,South Korea
2024-07-02,#BigData,65425,310596,0.48,Japan
2025-04-15,#BigData,60360,119168,-0.35,India
2025-05-12,#Crypto,103218,601569,-0.53,Egypt
2025-04-20,#Blockchain,1938,6823,0.47,Turkey
2024-09-16,#MusicMonday,45268,91333,-0.87,USA
2024-11-08,#Science,47934,237570,0.44,Brazil
2025-01-25,#RemoteWork,18700,64918,0.86,Nigeria
2025-03-07,#Elections2025,187707,821767,0.56,China
2024-08-23,#SelfCare,69209,353484,-0.22,Russia
2024-10-24,#Education,124181,460756,-0.54,Egypt
2024-09-15,#FoodPorn,137715,425661,-0.72,India
2025-02-19,#Fashion,102534,256549,0.54,Canada
2025-01-14,#TechNews,74486,395157,0.95,Canada
2025-03-14,#Startup,52140,137399,-0.53,Australia
2024-11-18,#History,153894,795733,-0.57,Japan
2025-04-15,#Motivation,183597,609505,0.23,France
2024-06-30,#EcoFriendly,184019,684620,-0.35,Canada
2024-06-25,#Robotics,30008,175142,-0.77,Australia
2024-12-16,#SmartCity,111570,422843,0.54,Mexico
2024-09-14,#MetGala,152691,447314,0.0,South Africa
2024-07-15,#Art,164461,716504,-0.87,Egypt
2024-07-15,#TravelTuesday,47503,120006,0.68,USA
2024-07-06,#Vegan,40267,219998,0.11,Mexico
2024-10-10,#Vegan,37160,155528,0.72,Spain
2024-11-15,#TravelTuesday,30071,145502,-0.92,Turkey
2024-07-21,#Elections2025,126064,658039,-0.23,Australia
2025-03-02,#Science,179712,620854,0.46,India
2025-03-30,#5G,42781,170167,-0.01,UK
2024-09-18,#Crypto,166485,371001,0.3,Italy
2025-01-27,#FitnessGoals,188982,997455,0.78,Japan
2024-09-30,#TravelTuesday,191482,436990,-0.84,Russia
2025-04-06,#SelfCare,167595,258872,0.13,Mexico
2024-07-23,#Coding,96258,349392,-0.03,Egypt
2024-11-26,#FoodPorn,153183,729247,-0.71,Mexico
2025-01-03,#FoodPorn,31128,100539,0.21,Egypt
2024-06-18,#Fashion,18140,64403,-0.09,South Korea
2024-10-05,#Coding,191702,857434,-0.51,South Korea
2024-06-08,#Photography,118089,253198,-0.66,Italy
2024-07-18,#SelfCare,12587,36597,0.79,Nigeria
2024-12-06,#Elections2025,157357,494724,0.2,Egypt
2024-06-04,#Books,8833,39244,0.34,Russia
2024-10-29,#Vegan,28666,50213,0.21,South Korea
2025-01-04,#Adventure,124252,454699,-0.85,Egypt
2025-01-29,#Robotics,35259,175679,0.08,Indonesia
2024-12-06,#Health,113698,647874,0.43,Brazil
2024-10-31,#Python,31253,167884,-0.54,Australia
2024-09-23,#Hiking,121204,261671,-0.07,Japan
2024-09-19,#RemoteWork,146831,814509,0.61,China
2025-03-26,#Politics,131299,573782,-0.0,Brazil
2024-08-16,#NFT,82748,280730,0.02,Russia
2024-10-24,#EcoFriendly,197254,535948,0.12,Nigeria
2025-03-21,#Motivation,35264,80419,0.26,Nigeria
2025-03-06,#DeepLearning,35144,59471,0.32,Canada
2024-07-26,#CyberSecurity,106929,515103,0.9,Egypt
2024-11-23,#Entrepreneur,199306,1079820,0.84,Russia
2024-11-08,#Photography,88106,332801,0.95,Japan
2024-07-04,#NFT,194280,942955,0.35,Italy
2024-07-03,#Foodie,118078,216666,-0.39,Italy
2025-01-15,#5G,28803,60096,0.43,India
2025-05-02,#Photography,23043,35649,0.47,South Africa
2024-05-30,#WorldCup,55338,172702,-0.17,Canada
2024-09-20,#Health,188656,402573,0.85,Australia
2025-05-03,#Coding,189899,1093258,0.04,USA
2024-10-02,#Movies,105684,571770,0.29,China
2024-09-12,#Motivation,73300,353020,0.46,Russia
2025-01-17,#Travel,118974,660035,0.28,India
2024-11-01,#BreakingNews,199230,989098,0.13,South Africa
2025-03-16,#Science,183629,865788,-0.21,Russia
2024-09-07,#WorldCup,183024,529684,-0.55,Italy
2024-11-26,#Coding,49038,173096,0.6,France
2024-11-02,#ViralVideo,149598,354498,0.35,China
2024-11-27,#Elections2025,83710,479417,0.22,South Korea
2025-04-18,#History,125102,327341,-0.13,South Africa
2024-06-05,#TravelTuesday,167570,988300,0.89,Egypt
2024-10-25,#Adventure,166771,446364,-0.47,Russia
2025-01-10,#DeepLearning,50998,129709,-0.11,China
2024-07-18,#TravelTuesday,197366,867628,0.81,Russia
2024-09-07,#Foodie,14158,23141,0.44,Mexico
2024-10-18,#BreakingNews,87793,500451,0.63,South Africa
2024-08-10,#Travel,176383,443521,0.17,Brazil
2025-04-08,#Education,13654,48036,-0.02,Australia
2024-12-01,#Entrepreneur,190226,478779,-0.31,Indonesia
2025-05-05,#BreakingNews,145438,388284,0.87,France
2025-05-11,#Education,39407,130304,0.82,UK
2024-09-16,#MetGala,109837,228146,0.57,South Korea
2025-02-26,#TravelTuesday,132019,266117,-0.08,Mexico
2024-08-26,#Coding,138908,293911,0.02,Egypt
2025-01-24,#Vegan,181578,1083925,-0.48,Nigeria
2025-01-19,#Business,141737,700723,-0.76,Nigeria
2024-10-16,#TechNews,19058,72336,0.88,Russia
2024-08-29,#Books,138864,467059,-0.51,Indonesia
2025-04-14,#Sustainability,116945,653971,-0.57,Indonesia
2025-04-30,#Blockchain,112508,351113,-0.49,Turkey
2025-01-10,#Coding,88311,356151,0.33,Indonesia
2024-11-06,#Innovation,163966,875153,0.17,Canada
2025-05-22,#Productivity,122032,189421,0.22,Spain
2025-04-18,#SmartCity,44209,110253,-0.59,South Korea
2025-05-03,#Python,90971,294197,-0.22,Indonesia
2024-11-18,#MentalHealth,62564,254225,-0.22,South Africa
2024-10-29,#CyberSecurity,74291,351614,-0.31,Germany
2024-12-27,#Fashion,123275,307675,0.61,India
2024-11-25,#ViralVideo,87411,132811,-0.41,Japan
2024-07-20,#Art,196362,1166841,0.55,Germany
2025-03-20,#Oscars,114170,293671,-0.38,Turkey
2024-11-29,#ViralVideo,188503,287920,0.64,South Africa
2024-08-03,#Motivation,105625,212843,-0.54,Turkey
2024-07-20,#Books,59512,192245,-0.55,Mexico
2024-10-09,#Innovation,115716,442175,0.1,Brazil
2024-06-02,#Crypto,124646,384154,-0.18,France
2024-06-17,#Nature,175358,875549,-0.16,Egypt
2025-02-22,#Crypto,98283,178869,-0.75,Turkey
2025-03-28,#Foodie,55526,210471,0.78,USA
2024-11-21,#SmartCity,67726,229622,-0.13,Spain
2025-04-18,#FitnessGoals,158942,884485,0.26,Spain
2025-05-09,#BigData,122328,191471,0.61,USA
2024-12-18,#Investing,165083,344996,0.33,China
2024-11-02,#TravelTuesday,158436,240562,0.64,Brazil
2025-01-27,#FoodPorn,58403,178461,0.04,USA
2024-06-12,#DeepLearning,8257,40226,-0.41,Germany
2024-06-16,#Startup,117412,344228,0.88,Turkey
2024-07-31,#Startup,146471,237647,0.35,South Africa
2024-06-20,#Blockchain,52998,312457,0.25,Spain
2024-10-26,#Robotics,85900,486337,0.02,Russia
2024-10-11,#History,13675,70128,-0.34,Japan
2025-04-01,#Health,4974,22263,-0.28,Canada
2025-05-22,#NFT,158796,627876,-0.69,Australia
2025-02-28,#Politics,127328,535361,-0.38,Nigeria
2025-01-11,#Politics,171888,552373,-0.84,China
2025-01-05,#BigData,15463,27688,0.74,UK
2024-08-02,#Sustainability,64802,364507,-0.43,Egypt
2024-07-22,#Crypto,39999,66211,-0.33,Russia
2025-05-21,#AIArt,20755,78982,0.43,South Korea
2024-08-14,#Photography,90409,419155,0.79,UK
2025-04-22,#MentalHealth,123211,278859,0.43,Turkey
2024-08-18,#Gaming,187130,913568,-0.59,Spain
2024-07-30,#BreakingNews,140503,729563,0.25,Nigeria
2024-08-25,#MentalHealth,62836,227170,-0.91,Mexico
2024-07-22,#Books,8670,32059,-0.87,France
2024-07-24,#Adventure,164213,475615,0.52,Brazil
2024-06-04,#Gaming,53287,85122,0.65,Indonesia
2024-07-03,#Sustainability,64357,277457,-0.93,Japan
2024-12-22,#Innovation,130518,355254,-0.67,Germany
2025-05-16,#Business,61763,351967,-0.29,France
2024-07-11,#Motivation,118097,218085,0.65,Germany
2024-09-05,#BigData,199875,376906,-0.98,Japan
2025-05-03,#DataScience,20191,32775,-0.61,Japan
2025-03-11,#Foodie,32331,81598,0.21,Australia
2025-03-23,#Fashion,133376,318063,0.51,UK
2025-03-25,#SpaceX,110450,317285,-0.18,Japan
2024-11-30,#Business,116480,347081,0.75,Canada
2024-06-11,#AI,69791,231263,-0.86,UK
2025-04-23,#Sustainability,19937,76347,0.97,Spain
2024-08-11,#Vegan,32102,107966,-0.55,Canada
2024-08-16,#DataScience,92543,466078,0.15,Egypt
2024-07-27,#Fashion,78969,187712,0.11,Mexico
2025-04-10,#Travel,154524,690114,0.89,France
2025-01-29,#Cloud,153844,397817,0.56,Egypt
2025-04-09,#Oscars,39839,173604,-0.68,Egypt
2024-07-30,#MusicMonday,135687,316029,0.67,Japan
2024-11-01,#AIArt,134920,653089,-0.21,Australia
2024-12-10,#Art,42760,86873,-0.28,Russia
2025-01-17,#Stocks,26687,149805,0.93,Russia
2024-09-04,#IoT,135782,679696,-0.88,China
2024-10-29,#5G,106206,470737,-0.25,Canada
2024-08-23,#BreakingNews,132295,439179,0.65,Canada
2024-09-19,#Books,183898,931739,-0.82,France
2025-04-23,#SpaceX,54770,253406,0.27,Canada
2024-11-15,#Art,16593,32420,-0.59,Nigeria
2024-11-20,#Business,75513,156115,-0.71,France
2025-02-19,#Fashion,49409,118132,-0.64,Italy
2025-05-01,#Fashion,108303,257963,0.86,Mexico
2024-08-16,#Crypto,160232,875116,0.85,Spain
2024-09-08,#Cloud,30703,65815,-0.77,Brazil
2024-06-06,#BreakingNews,31315,181047,0.39,Brazil
2024-07-27,#SmartCity,1183,4351,0.84,UK
2025-04-30,#WorldCup,74166,137745,0.61,Russia
2024-10-14,#Hiking,191697,730071,-0.49,South Africa
2024-06-03,#FoodPorn,20628,43681,0.72,India
2025-05-18,#FitnessGoals,162977,352910,-0.69,France
2025-05-02,#CyberSecurity,75294,308221,0.29,South Africa
2024-09-20,#Health,177471,901652,-0.53,UK
2024-10-18,#Oscars,30052,137167,0.75,Canada
2024-08-23,#Blockchain,154750,412736,0.46,Mexico
2024-10-23,#RemoteWork,50507,156344,0.04,Nigeria
2025-04-26,#Crypto,142767,493812,-0.22,China
2024-08-21,#AIArt,69785,361414,0.35,South Africa
2025-02-23,#Finance,161959,678888,-0.44,Canada
2024-06-09,#Python,19112,79344,0.28,Russia
2025-04-27,#Entrepreneur,117590,447616,0.31,China
2025-05-12,#NFT,165228,717057,0.98,Germany
2024-08-05,#Investing,4591,10241,0.97,Nigeria
2025-01-10,#5G,20200,68170,0.96,Brazil
2024-08-16,#TravelTuesday,142563,845576,0.36,Russia
2025-01-30,#Adventure,17113,31545,-0.78,Nigeria
2024-06-25,#Business,13990,62916,0.36,India
2025-03-17,#Entrepreneur,105374,620443,0.53,Mexico
2024-12-17,#SmartCity,92201,516211,-0.03,Nigeria
2024-09-21,#SelfCare,143420,683024,-0.44,Italy
2024-06-20,#Nature,29580,101683,0.24,Spain
2024-09-24,#BigData,110468,338332,0.54,South Africa
2024-10-17,#Blockchain,198919,558060,-0.3,Turkey
2024-11-12,#Robotics,52207,281653,-0.45,Brazil
2025-02-28,#NFT,2755,10611,0.08,China
2024-10-16,#MentalHealth,118193,282274,-0.78,Germany
2024-10-18,#Robotics,25240,111572,-0.65,UK
2025-02-21,#DeepLearning,69485,127356,0.27,Germany
2024-07-23,#Hiking,121502,251358,-0.69,France
2025-05-03,#FoodPorn,196444,876605,0.92,Canada
2024-09-21,#MachineLearning,82378,224718,-0.85,Brazil
2024-10-31,#MachineLearning,189103,675019,0.46,China
2025-04-12,#Health,91077,532140,-0.84,Turkey
2025-04-27,#History,166518,271549,0.17,Germany
2024-10-29,#AIArt,99002,592065,-0.55,Italy
2024-10-07,#Adventure,120902,656756,0.06,Canada
2024-11-23,#MachineLearning,151521,511522,-0.19,Australia
2024-09-24,#Oscars,185124,859318,0.07,Australia
2025-05-25,#IoT,77136,187043,0.45,Spain
2025-01-02,#Blockchain,150435,507973,0.38,UK
2024-08-13,#Foodie,126959,508611,-0.61,Japan
2025-02-28,#Photography,192887,741196,-0.55,China
2024-10-03,#MachineLearning,78897,359304,0.71,Turkey
2024-06-16,#FitnessGoals,67459,207793,-0.91,Germany
2024-12-21,#DataScience,174607,529236,0.72,USA
2024-08-03,#MachineLearning,31232,161316,-0.5,France
2024-07-07,#Stocks,7010,24480,-0.76,China
2025-05-11,#SmartCity,70100,403860,-0.38,Canada
2025-01-09,#Crypto,138858,647039,-0.36,India
2024-07-13,#FoodPorn,185253,369239,0.2,Russia
2024-09-25,#Nature,89486,520277,0.15,USA
2024-06-20,#Vegan,196984,446077,0.35,Turkey
2024-09-13,#SmartCity,80656,271432,0.79,South Africa
2024-06-17,#Photography,68015,350479,0.03,Egypt
2024-08-01,#NFT,170442,411686,-0.15,South Africa
2024-05-28,#Startup,80696,201994,0.36,Japan
2025-01-21,#Finance,3137,14561,0.18,Japan
2024-12-02,#Investing,187068,524500,0.82,Australia
2024-08-29,#Business,185305,735880,0.71,South Korea
2024-10-20,#MetGala,148816,241816,-0.41,France
2024-06-20,#Productivity,60360,99125,0.96,Brazil
2024-09-25,#DataScience,167667,933351,0.91,Italy
2024-12-07,#Business,137737,777053,0.07,Australia
2025-04-14,#Movies,183525,502803,-0.06,UK
2025-02-22,#Nature,189392,985485,-0.09,Germany
2024-11-15,#Coding,162527,852701,0.8,Nigeria
2025-02-20,#MetGala,172078,826459,-0.6,Canada
2024-08-05,#FitnessGoals,166798,484495,-0.06,South Korea
2025-02-19,#WorldCup,14712,39351,-0.16,Indonesia
2025-02-16,#Nature,59818,192949,-0.4,Mexico
2025-04-11,#Adventure,152439,328177,-0.53,Italy
2024-12-19,#Robotics,170622,830116,-0.21,South Africa
2024-05-31,#Gaming,140425,412726,-0.03,Germany
2025-02-17,#Photography,185878,300936,-0.45,Egypt
2025-05-11,#Movies,143319,487642,0.14,Nigeria
2025-01-06,#EcoFriendly,51197,287799,0.65,Mexico
2024-11-29,#NFT,52771,199243,-0.95,UK
2025-01-02,#Innovation,94121,401717,0.81,Mexico
2025-02-28,#ViralVideo,94702,551504,0.69,Indonesia
2024-10-08,#Robotics,40338,193277,0.35,Italy
2025-02-15,#Nature,180159,272910,0.51,Germany
2025-03-12,#Innovation,10679,47506,0.34,UK
2024-08-03,#Education,183068,889455,0.85,Nigeria
2024-12-07,#Motivation,135241,675104,-0.19,Canada
2025-05-07,#AI,195356,414347,0.11,France
2024-07-06,#EcoFriendly,112590,295546,-0.59,UK
2024-08-10,#Movies,129348,772461,-0.11,Germany
2024-07-21,#Books,52352,187823,-0.33,South Korea
2024-07-18,#AI,94916,527468,-0.85,Mexico
2025-03-08,#Coding,68911,302557,-0.84,Russia
2025-03-05,#DeepLearning,37006,91678,0.59,France
2024-09-29,#BreakingNews,165335,406279,-0.65,Russia
2024-08-02,#Movies,178901,332801,-0.53,South Korea
2025-01-06,#Sustainability,12227,59918,-0.87,Egypt
2025-04-07,#Science,10139,58993,-0.16,USA
2024-09-16,#TravelTuesday,71459,138948,0.76,Turkey
2024-11-18,#TravelTuesday,48324,142889,0.52,Mexico
2024-06-27,#Fashion,85373,321222,-0.59,France
2025-01-28,#ClimateChange,187069,757543,-0.83,China
2025-04-01,#ClimateChange,183951,1057354,0.49,Egypt
2025-05-15,#History,16162,26670,-0.73,Canada
2024-05-29,#Elections2025,12912,56313,0.73,France
2025-05-26,#Gaming,131746,694516,-0.24,Canada
2025-01-08,#FitnessGoals,170866,720568,-0.93,Canada
2024-07-28,#Motivation,135292,459281,0.21,Egypt
2024-07-05,#Foodie,164142,551880,-0.85,UK
2024-09-19,#Business,108646,555206,0.11,USA
2025-04-21,#SelfCare,65035,371565,-0.33,South Africa
2025-01-17,#FitnessGoals,144694,444092,0.59,South Korea
2025-04-09,#BigData,142843,379693,0.59,Japan
2024-12-18,#Adventure,91554,226403,-0.12,Germany
2024-06-01,#Python,99789,439992,0.13,India
2025-05-05,#IoT,83980,438147,-0.91,Turkey
2024-11-19,#Vegan,97068,189433,0.13,Russia
2024-12-29,#EcoFriendly,183001,297495,0.51,Nigeria
2025-01-30,#BreakingNews,52930,143187,0.85,Spain
2025-01-08,#Analytics,30112,102385,0.49,Indonesia
2025-02-13,#Gaming,50776,199957,0.98,South Korea
2024-11-03,#Investing,170584,489697,-0.86,Mexico
2025-04-22,#Motivation,137567,424127,-0.75,South Africa
2024-09-10,#Health,179680,325316,-0.44,Indonesia
2024-08-27,#Health,78827,368566,0.57,Australia
2024-10-31,#Oscars,35232,107627,0.1,China
2024-07-17,#SpaceX,51038,176799,-0.08,Brazil
2024-08-13,#Robotics,55641,263694,-0.57,Turkey
2025-04-15,#Foodie,52328,255879,-0.66,France
2024-07-04,#SpaceX,192557,301714,-0.2,Turkey
2024-09-19,#Motivation,24637,85509,-0.08,Brazil
2024-09-16,#Vegan,106071,363857,0.73,France
2025-02-19,#Analytics,157428,721119,-0.97,South Africa
2024-07-24,#DataScience,154769,518304,-0.84,Italy
2024-06-14,#Nature,101297,534610,0.65,China
2025-05-17,#TechNews,168143,282948,-0.24,Nigeria
2024-10-16,#Books,160653,297731,-0.0,Turkey
2024-10-16,#Fashion,55609,225599,0.41,Brazil
2024-06-27,#Startup,181430,1009194,-0.07,Brazil
2025-02-17,#Crypto,48359,276275,0.47,Australia
2025-04-08,#Movies,23592,70325,0.29,Australia
2025-05-20,#FoodPorn,176116,467366,-0.4,France
2024-11-14,#MentalHealth,147322,432052,-0.21,Russia
2025-01-12,#Stocks,76127,331823,0.69,South Korea
2025-02-16,#History,107471,467433,-0.35,Germany
2024-10-16,#WorldCup,86414,442659,-0.17,Russia
2024-09-29,#Blockchain,19395,56027,-0.86,Spain
2025-02-27,#Investing,129506,629602,0.0,UK
2024-10-15,#AIArt,131096,224081,0.54,Australia
2024-08-04,#Science,182023,538120,0.09,France
2025-02-14,#Entrepreneur,117984,680239,0.45,USA
2024-08-26,#Business,191566,1039118,-0.57,Nigeria
2024-09-07,#ClimateChange,163847,554285,-0.17,Egypt
2025-03-07,#Science,170859,420391,-0.41,Egypt
2025-02-08,#EcoFriendly,125895,437864,0.15,Russia
2024-12-11,#Crypto,91306,422916,-0.53,Spain
2025-03-03,#Politics,156912,775052,0.42,Nigeria
2025-04-16,#ClimateChange,34889,105404,0.94,Turkey
2025-05-18,#Cloud,131607,299118,-0.1,USA
2024-11-22,#Fashion,37871,151132,-0.64,Egypt
2025-01-14,#Fashion,64349,151947,-0.29,Egypt
2024-08-23,#Coding,15899,71740,0.51,Germany
2025-01-02,#Cloud,182340,790728,0.17,UK
2025-03-03,#Science,11431,64246,-0.53,France
2024-09-21,#Business,113552,409705,0.56,China
2025-01-25,#Science,76474,170942,-0.49,UK
2024-10-05,#NFT,130643,282402,-0.87,Spain
2024-06-07,#5G,100561,288322,0.39,Japan
2025-03-25,#Motivation,63108,107247,0.52,UK
2025-04-26,#Politics,115916,606375,-0.87,France
2024-09-08,#ClimateChange,194255,534707,-0.44,Canada
2024-07-15,#FoodPorn,4222,23508,-0.7,China
2024-12-12,#Business,22007,43181,-0.96,Russia
2025-03-13,#Business,151153,435269,0.42,Spain
2025-05-24,#MentalHealth,100279,317769,0.79,USA
2024-10-31,#Crypto,43959,135808,-0.93,Germany
2025-02-05,#AIArt,106683,543446,0.79,France
2025-03-09,#Entrepreneur,134335,556924,-0.32,Australia
2025-03-15,#Fashion,92284,154460,-0.35,France
2025-04-15,#RemoteWork,61635,335703,-0.74,Egypt
2024-09-25,#SelfCare,86667,230193,0.98,India
2025-04-24,#FitnessGoals,62290,221701,-0.18,France
2024-07-24,#Analytics,94856,390100,0.96,Italy
2025-01-15,#MentalHealth,81176,176540,-0.89,Italy
2025-02-21,#Foodie,48288,286512,0.01,Japan
2024-08-20,#Science,189368,658594,0.33,UK
2024-06-07,#Hiking,119766,355038,-0.58,Japan
2024-12-19,#Fashion,103477,407589,-0.1,Egypt
2025-05-06,#Education,36669,76193,0.68,India
2025-02-07,#AI,35342,117452,0.67,Nigeria
2024-11-16,#ClimateChange,89248,429867,0.5,China
2024-07-09,#FoodPorn,178741,830863,0.06,Japan
2024-07-20,#Python,142476,218474,-0.3,Canada
2024-11-10,#Fashion,30167,172332,-0.16,Turkey
2024-07-21,#DataScience,109231,633375,-0.27,Indonesia
2025-01-19,#Stocks,157618,271393,0.37,Russia
2024-07-17,#Crypto,103949,425199,-0.83,Nigeria
2025-05-24,#SelfCare,70159,263694,0.65,China
2024-09-29,#IoT,89409,422270,-0.97,Indonesia
2025-05-03,#Investing,56430,135605,0.3,China
2025-05-24,#NFT,130649,214538,0.32,Australia
2024-09-27,#TechNews,161716,460887,-0.37,Italy
2025-05-13,#Robotics,50780,77653,0.58,Italy
2024-08-12,#NFT,31057,75581,0.87,Japan
2025-01-10,#FoodPorn,29794,129840,-0.14,USA
2024-12-18,#ViralVideo,9832,48577,0.28,Turkey
2025-03-22,#ClimateChange,83571,225697,-0.69,Germany
2024-09-10,#Productivity,177566,709395,-0.72,South Africa
2025-02-25,#Coding,41732,208820,0.55,France
2024-11-29,#Adventure,88579,465260,-0.69,Spain
2024-09-17,#TechNews,51860,145161,0.01,Mexico
2024-10-07,#MusicMonday,26234,143143,-0.67,Italy
2024-08-10,#Blockchain,185162,577431,0.3,Indonesia
2024-09-27,#Foodie,168380,267712,0.52,Indonesia
2024-11-15,#Analytics,100050,176776,-0.7,Japan
2024-11-13,#Robotics,130152,473076,-0.13,Egypt
2024-09-06,#MetGala,155332,913692,-0.46,Germany
2025-05-11,#Elections2025,125724,487465,0.44,France
2024-08-25,#Nature,31873,105905,-0.34,UK
2024-12-04,#Health,168151,773532,-0.76,China
2024-11-11,#Vegan,100232,478407,0.16,China
2025-04-30,#SmartCity,140682,805644,0.69,India
2025-01-06,#Blockchain,138875,502261,-0.39,Spain
2025-04-01,#Python,120468,333323,0.39,Russia
2024-12-04,#Photography,185739,713629,0.45,Indonesia
2024-07-20,#FoodPorn,72745,153532,-0.41,Germany
2024-10-18,#Analytics,37730,217309,0.55,Canada
2024-06-13,#DeepLearning,42421,231103,-0.98,Indonesia
2025-01-11,#ViralVideo,41086,144113,-0.26,India
2024-08-15,#MentalHealth,95936,243135,0.12,UK
2024-08-26,#Education,25262,98584,-0.59,Mexico
2024-07-23,#Entrepreneur,36790,75049,-0.92,Germany
2024-06-11,#SelfCare,117703,602528,-0.43,Turkey
2024-09-16,#FitnessGoals,102787,549570,0.43,Turkey
2024-10-23,#WorldCup,67500,185436,0.62,Canada
2024-09-14,#Hiking,47115,236716,-0.83,Mexico
2024-06-20,#MentalHealth,87089,244733,0.43,Brazil
2025-03-28,#DataScience,35145,151986,-0.9,Turkey
2025-05-20,#MentalHealth,127235,678780,0.52,USA
2025-01-30,#Education,154233,476429,-0.38,Germany
2025-01-15,#Motivation,91834,476719,-0.59,Turkey
2025-04-19,#DeepLearning,17753,54114,-0.09,UK
2025-02-10,#Hiking,42436,85784,0.05,Italy
2024-07-21,#DeepLearning,21635,36367,0.24,Italy
2025-02-16,#CyberSecurity,139098,384138,0.42,South Africa
2025-03-03,#Analytics,88725,403414,0.13,South Korea
2024-11-01,#BreakingNews,51384,116887,-0.04,China
2025-01-14,#Politics,123092,662766,-0.84,Spain
2024-10-30,#IoT,182464,532716,0.85,Brazil
2024-07-26,#Fashion,11224,43106,0.3,China
2024-09-02,#Education,163635,786412,-0.56,Japan
2025-04-18,#SmartCity,42281,100555,0.77,China
2025-04-02,#Politics,112455,176519,-0.2,UK
2024-06-18,#CyberSecurity,2262,12542,-0.16,France
2025-04-30,#Health,68403,326892,0.91,Russia
2024-06-12,#MetGala,179794,494819,0.96,South Africa
2024-12-22,#DeepLearning,11531,63629,-0.7,Russia
2025-03-02,#AI,66522,140633,0.76,Egypt
2024-06-27,#BigData,121239,221408,-0.82,Indonesia
2024-07-22,#Foodie,105146,262946,-0.66,Italy
2025-02-22,#BigData,186661,650461,0.25,Japan
2024-06-02,#Coding,11127,25477,0.38,Russia
2025-05-09,#Education,62721,346716,0.82,Turkey
2024-11-29,#Fashion,110556,188540,0.62,South Korea
2025-02-12,#Art,126845,355767,0.45,Australia
2024-11-15,#Python,16416,95259,-0.71,China
2025-04-11,#Business,46401,182265,0.47,Indonesia
2025-02-04,#FoodPorn,94276,502957,-0.71,Japan
2024-11-05,#SmartCity,106377,461173,0.86,Spain
2024-11-15,#ViralVideo,185398,612108,0.91,South Korea
2025-04-23,#Coding,118729,296573,-0.37,UK
2024-06-10,#NFT,87640,507354,-0.44,France
2024-10-21,#AI,197977,730932,-0.04,Canada
2024-07-08,#AI,122827,387380,0.58,France
2025-05-23,#EcoFriendly,138890,341337,-0.69,Japan
2025-05-20,#Travel,108951,592505,-0.7,Indonesia
2024-06-09,#Business,8071,19439,0.56,UK
2024-07-02,#WorldCup,92785,501952,0.37,USA
2024-12-28,#NFT,123254,289175,-0.37,Spain
2024-11-16,#Oscars,85778,361137,-0.73,Brazil
2025-01-08,#Stocks,69650,256213,0.04,Canada
2024-10-02,#Nature,139777,682345,0.89,Nigeria
2025-05-27,#SmartCity,6365,35255,-0.73,Turkey
2024-10-19,#Hiking,111829,532641,0.66,China
2024-11-15,#Politics,130476,243109,-0.26,Italy
2025-03-02,#AIArt,117126,661843,-0.96,South Africa
2025-02-09,#IoT,157189,241052,-0.02,Australia
2025-05-02,#IoT,150194,431529,-0.95,South Korea
2024-09-10,#Adventure,152223,694792,0.61,Nigeria
2024-11-18,#Gaming,25383,128249,-0.39,USA
2024-09-18,#NFT,138095,747690,-0.19,Italy
2025-04-02,#NFT,185064,480230,-0.17,UK
2025-05-26,#IoT,15008,63342,0.3,Russia
2024-10-29,#Vegan,186354,1102961,0.7,Brazil
2024-07-22,#Adventure,99597,532166,0.6,Italy
2024-06-28,#Art,126446,413564,0.23,Spain
2025-01-03,#Science,37849,66052,0.21,Mexico
2024-09-17,#DeepLearning,89778,217656,-0.05,Mexico
2024-08-27,#Science,58180,103456,-0.68,China
2025-02-08,#DataScience,76870,304417,0.76,Australia
2024-08-31,#5G,176024,761946,0.92,Egypt
2024-09-04,#MetGala,33042,137344,-0.93,Germany
2024-07-14,#5G,107224,390189,-0.56,Spain
2024-07-10,#Stocks,196199,1031467,0.84,Germany
2024-11-14,#FitnessGoals,62327,209278,-0.32,India
2024-11-21,#FitnessGoals,114382,261063,-0.18,China
2025-01-12,#TechNews,112992,654617,-0.92,India
2024-06-18,#Productivity,114668,642260,0.4,UK
2024-10-15,#Elections2025,183979,920143,-0.69,Mexico
2025-03-17,#Books,148562,355912,0.36,Nigeria
